,source,target,rating,ts,time
215,69,78,2,1295806593,1079
216,6,80,1,1295847189,1079
217,80,6,1,1295847197,1079
218,30,81,1,1295990232,1079
219,30,48,1,1295995414,1079
220,48,30,1,1295995480,1079
221,78,69,2,1296071385,1080
222,17,6,5,1296076062,1080
223,6,82,1,1296085723,1080
224,82,6,1,1296085847,1080
225,45,83,2,1296096741,1080
226,83,45,2,1296096768,1080
227,83,56,1,1296163310,1080
228,83,86,2,1296163344,1080
229,83,42,4,1296163403,1080
230,42,83,4,1296164244,1080
231,80,29,1,1296229412,1080
232,29,80,1,1296229420,1080
233,5,85,2,-2147483648,1080
234,85,29,1,-2147483648,1080
235,5,23,1,1296291723,1080
236,29,85,1,1296291878,1080
237,34,6,1,-2147483648,1080
238,0,88,1,1296512102,1080
239,88,0,10,-2147483648,1080
240,72,0,3,1296513427,1080
241,72,6,4,-2147483648,1080
242,6,72,2,1296528668,1080
243,6,34,1,1296528718,1080
244,6,90,1,1296553673,1080
245,90,6,1,1296553681,1080
246,17,79,1,1296579082,1080
247,79,17,1,1296579092,1080
248,79,75,1,1296580101,1080
249,75,79,1,1296580127,1080
250,42,40,2,1296595302,1080
251,86,56,3,1296601381,1080
252,88,92,10,1296608630,1080
253,88,18,1,1296609273,1080
254,0,1,8,1296629343,1080
255,0,55,2,1296631215,1080
256,55,0,2,1296631324,1080
257,0,17,6,1296657671,1080
258,38,93,1,1296682612,1080
259,87,6,2,1296688733,1080
260,6,87,2,1296688773,1080
261,38,10,2,1296690713,1080
262,10,38,2,1296690764,1080
263,56,29,3,1296754197,1080
264,56,11,1,1296754335,1080
265,56,5,3,1296754391,1080
266,56,0,3,1296754396,1080
267,56,17,1,1296754414,1080
268,56,20,3,1296754435,1080
269,56,86,3,1296754444,1080
270,56,83,1,1296754511,1080
271,56,94,1,-2147483648,1080
272,56,43,3,1296754644,1080
273,93,38,1,1296758779,1080
274,38,1,2,1296769471,1080
275,1,38,2,1296769494,1080
276,92,88,10,1296772979,1080
277,92,95,1,1296773129,1080
278,95,92,2,1296774360,1080
279,6,96,1,1296792123,1080
280,96,6,1,1296792359,1080
281,76,30,1,1296837862,1080
282,30,45,1,1296868252,1080
283,45,30,1,1296868317,1080
284,41,81,1,1296870068,1080
285,84,91,2,1296884305,1080
286,91,84,2,1296884644,1080
287,38,6,6,1296913225,1080
288,6,38,5,1296913557,1080
289,84,17,2,-2147483648,1080
290,84,98,2,1296927424,1080
291,98,84,2,1296927623,1080
292,57,27,2,-2147483648,1080
293,27,57,2,1297093804,1080
294,1,95,2,1297102509,1080
295,95,1,2,1297102585,1080
296,69,11,4,1297187359,1080
297,81,41,1,1297197836,1080
298,81,30,1,1297197843,1080
299,95,20,1,1297206554,1081
300,20,95,1,1297207240,1081
301,82,0,1,1297291837,1081
302,95,97,1,1297301158,1081
303,97,95,1,1297301164,1081
304,95,72,1,1297308204,1081
305,72,95,1,-2147483648,1081
306,30,99,1,1297315440,1081
307,11,69,3,1297359911,1081
308,99,30,1,1297367601,1081
309,6,99,1,1297370441,1081
310,99,6,1,1297371118,1081
311,0,100,1,-2147483648,1081
312,100,0,1,1297374204,1081
313,95,100,1,1297378806,1081
314,100,95,1,1297378871,1081
315,72,82,1,1297385761,1081
316,82,72,1,1297385922,1081
317,72,45,1,1297386367,1081
318,45,72,1,1297386418,1081
319,30,102,1,-2147483648,1081
320,102,30,1,1297462874,1081
321,6,42,5,1297467512,1081
322,42,72,2,1297479764,1081
323,6,103,2,-2147483648,1081
324,103,97,5,1297489409,1081
325,97,103,5,1297494046,1081
326,103,6,3,1297494086,1081
327,95,16,5,1297533099,1081
328,101,95,1,-2147483648,1081
329,95,101,1,1297534217,1081
330,57,95,3,1297550942,1081
331,1,2,8,1297570107,1081
332,95,104,1,1297621909,1081
333,104,95,1,-2147483648,1081
334,81,104,1,1297626584,1081
335,0,81,1,1297627293,1081
336,81,0,1,1297627348,1081
337,104,81,1,1297628387,1081
338,81,55,2,1297644400,1081
339,1,104,1,1297647973,1081
340,104,1,1,1297647979,1081
341,81,105,1,1297652993,1081
342,105,81,1,-2147483648,1081
343,54,95,1,1297686544,1081
344,81,97,1,-2147483648,1081
345,97,81,1,1297723090,1081
346,95,106,1,1297734450,1081
347,106,95,1,1297734459,1081
348,0,107,1,1297789863,1081
349,107,0,1,1297789935,1081
350,108,1,1,1297807903,1081
351,42,109,1,1297809191,1081
352,30,110,1,1297812539,1081
353,110,30,1,1297812615,1081
354,17,84,4,1297815736,1081
355,16,95,2,1297824884,1081
356,66,60,2,1297844414,1081
357,57,111,1,1297866186,1081
358,111,112,1,1297866223,1081
359,112,111,1,1297866274,1081
360,95,54,1,1297872866,1081
361,1,81,1,-2147483648,1081
362,81,1,1,1297878338,1081
363,81,106,1,1297878360,1081
364,106,81,1,1297878526,1081
365,30,109,1,1297882010,1081
366,109,30,1,1297882595,1081
367,95,113,1,1297886091,1081
368,75,114,2,-2147483648,1081
369,60,66,3,1297907214,1081
370,113,115,1,1297908772,1081
371,115,113,2,1297908772,1081
372,113,54,1,-2147483648,1081
373,81,116,1,1297910664,1081
374,95,117,4,1297911997,1081
375,117,95,4,1297912087,1081
376,95,84,3,1297915803,1081
377,84,95,3,1297915880,1081
378,116,81,1,1297915937,1081
379,30,118,1,1297959915,1081
380,118,30,1,1297961344,1081
381,111,95,1,-2147483648,1081
382,95,111,1,1297976241,1081
383,84,119,1,1297976422,1081
384,119,84,2,-2147483648,1081
385,40,6,3,1297980364,1081
386,6,40,3,1297980493,1081
387,30,95,1,1298044125,1081
388,114,75,2,1298047000,1081
389,95,30,1,-2147483648,1081
390,85,0,2,1298056076,1081
391,0,85,2,1298061893,1081
392,0,82,2,1298062294,1081
393,42,121,1,1298072059,1081
394,121,42,1,1298072081,1081
395,85,111,1,1298128067,1081
396,111,85,1,1298130582,1081
397,85,108,1,-2147483648,1081
398,57,108,1,1298146920,1081
399,108,57,1,1298147261,1081
400,90,57,1,1298147284,1081
401,95,57,3,-2147483648,1081
402,108,85,1,1298147389,1081
403,85,16,1,1298169867,1081
404,6,122,3,1298169938,1081
405,122,6,3,1298169949,1081
406,16,85,1,1298176196,1081
407,95,75,1,1298252029,1081
408,75,95,1,1298252036,1081
409,95,118,2,1298265265,1081
410,118,95,2,1298265838,1081
411,0,6,9,1298267256,1081
412,6,0,7,1298267346,1081
413,95,123,1,1298311685,1081
414,123,95,1,1298311859,1081
415,30,124,1,1298314076,1081
416,124,30,1,1298314093,1081
417,30,123,1,1298315497,1081
418,123,30,1,-2147483648,1081
419,1,111,1,1298346435,1081
420,111,1,1,1298346449,1081
421,54,30,2,1298399915,1081
422,105,60,1,1298431338,1082
423,105,59,1,1298431427,1082
424,59,105,1,1298431543,1082
425,0,126,1,1298487310,1082
426,126,0,1,1298487318,1082
427,113,127,1,1298513462,1082
428,127,113,1,1298513680,1082
429,1,127,1,1298520615,1082
430,127,1,1,1298520693,1082
431,81,75,1,-2147483648,1082
432,30,128,1,1298584878,1082
433,128,30,1,1298584913,1082
434,30,129,1,1298589589,1082
435,129,30,1,1298589707,1082
436,95,130,2,1298611411,1082
437,130,95,2,1298611459,1082
438,60,111,1,1298623979,1082
439,104,131,1,1298645238,1082
440,131,104,1,1298645445,1082
441,32,132,2,1298646564,1082
442,132,32,2,1298647569,1082
443,45,127,1,1298653534,1082
444,127,45,1,1298653559,1082
445,84,127,1,1298654517,1082
446,127,84,1,1298654517,1082
447,42,75,2,1298654789,1082
448,42,133,1,1298657430,1082
449,45,2,1,-2147483648,1082
450,84,134,2,1298665394,1082
451,134,84,1,1298667151,1082
452,30,135,1,1298667648,1082
453,133,42,1,1298667687,1082
454,127,117,2,1298694079,1082
455,117,127,2,1298694137,1082
456,136,6,2,1298708156,1082
457,32,137,3,1298740675,1082
458,122,106,1,1298757244,1082
459,106,122,1,1298757268,1082
460,6,127,1,1298759550,1082
461,122,138,1,1298778315,1082
462,138,122,1,-2147483648,1082
463,111,93,1,1298795455,1082
464,93,111,1,1298795468,1082
465,106,139,1,1298843671,1082
466,139,106,1,1298843683,1082
467,54,0,2,1298844200,1082
468,54,140,1,1298844210,1082
469,140,54,1,1298844224,1082
470,54,44,2,1298844292,1082
471,44,54,2,-2147483648,1082
472,105,134,1,1298874597,1082
473,111,134,1,1298874793,1082
474,134,111,1,1298874964,1082
475,134,105,1,1298875015,1082
476,127,141,1,1298878912,1082
477,141,127,1,1298878996,1082
478,135,30,1,1298880775,1082
479,111,60,3,1298898116,1082
480,106,105,1,1298926935,1082
481,105,106,1,1298927097,1082
482,42,110,2,1298928760,1082
483,110,42,2,1298928785,1082
484,1,117,1,1298929715,1082
485,117,1,1,1298929724,1082
486,0,14,6,1298950354,1082
487,95,142,1,-2147483648,1082
488,142,95,1,1299031290,1082
489,98,142,1,1299032633,1082
490,142,98,1,-2147483648,1082
491,95,120,1,1299034389,1082
492,120,95,1,1299034411,1082
493,98,105,1,-2147483648,1082
494,105,98,1,1299038484,1082
495,110,143,1,1299041120,1082
496,143,110,1,1299041133,1082
497,106,142,1,1299041571,1082
498,142,106,1,1299041643,1082
499,142,144,2,-2147483648,1082
500,144,142,2,1299043551,1082
501,105,144,1,1299044294,1082
502,144,105,1,1299044403,1082
503,104,45,1,1299085320,1082
504,45,104,1,1299085332,1082
505,145,6,2,1299087811,1082
506,6,145,2,-2147483648,1082
507,59,6,1,1299088418,1082
508,6,57,1,1299093649,1082
509,57,6,1,1299093674,1082
510,109,140,1,-2147483648,1082
511,140,109,1,1299103258,1082
512,6,146,1,1299151907,1082
513,146,6,1,1299152111,1082
514,137,32,1,1299178292,1082
515,144,147,1,1299204600,1082
516,147,144,1,1299204728,1082
517,98,148,1,1299204954,1082
518,148,98,1,1299205271,1082
519,24,6,2,1299206112,1082
520,6,24,2,1299206119,1082
521,57,106,3,1299275608,1082
522,6,149,1,-2147483648,1082
523,149,6,1,-2147483648,1082
524,75,150,2,1299289949,1082
525,150,75,2,1299290475,1082
526,75,151,1,1299304119,1082
527,151,75,1,1299304159,1082
528,75,81,2,1299436669,1082
529,75,152,1,1299438045,1082
530,152,75,1,1299438055,1082
531,75,84,1,1299446922,1082
532,84,75,1,1299446966,1082
533,5,134,3,1299447999,1082
534,81,6,1,1299490927,1082
535,75,132,1,1299521852,1082
536,132,75,1,1299526904,1082
537,105,153,1,1299530754,1082
538,153,105,1,1299530789,1082
539,42,120,2,1299531271,1082
540,120,42,2,1299531324,1082
541,1,0,8,1299556897,1082
542,41,18,2,1299557057,1082
543,42,139,2,1299612557,1083
544,6,26,2,1299679074,1083
545,42,154,1,1299680713,1083
546,154,42,1,1299690391,1083
547,42,155,1,1299695064,1083
548,155,139,1,1299695092,1083
549,155,42,1,1299695193,1083
550,139,155,1,1299696030,1083
551,6,156,1,1299732938,1083
552,156,6,1,1299732959,1083
553,21,42,2,1299735274,1083
554,44,157,1,1299758045,1083
555,157,44,1,1299758069,1083
556,42,21,2,1299767299,1083
557,42,152,4,1299770716,1083
558,6,117,1,1299912911,1083
559,117,6,1,1299912916,1083
560,42,159,1,1299950085,1083
561,42,160,1,1299985463,1083
562,160,42,1,-2147483648,1083
563,6,161,2,1300015561,1083
564,161,6,2,1300015951,1083
565,95,159,2,1300042936,1083
566,159,95,1,1300043117,1083
567,26,6,2,1300184211,1083
568,155,162,1,1300209236,1083
569,162,155,1,-2147483648,1083
570,72,163,1,1300226423,1083
571,163,72,1,1300226820,1083
572,104,164,1,1300231849,1083
573,164,104,1,1300232683,1083
574,6,165,1,1300232688,1083
575,104,42,1,1300233490,1083
576,6,81,3,1300240396,1083
577,42,166,1,-2147483648,1083
578,167,162,1,1300261803,1083
579,162,167,1,1300262138,1083
580,168,6,2,1300292102,1083
581,161,44,1,1300330194,1083
582,42,54,3,1300332304,1083
583,54,42,3,1300332465,1083
584,54,6,3,1300333012,1083
585,42,170,3,1300402382,1083
586,6,171,1,1300411884,1083
587,171,6,1,1300414645,1083
588,104,105,2,1300459755,1083
589,105,104,2,1300459768,1083
590,42,104,1,1300473495,1083
591,6,167,2,1300568050,1083
592,111,170,1,1300652885,1083
593,89,6,5,1300708855,1083
594,6,168,3,-2147483648,1083
595,6,69,1,-2147483648,1083
596,75,140,-1,1300756036,1083
597,161,140,-1,1300756138,1083
598,111,140,-1,1300756261,1083
599,69,6,2,1300789107,1083
600,40,42,2,1300815962,1084
601,163,172,1,1300839352,1084
602,161,10,1,1300839891,1084
603,10,161,1,1300839913,1084
604,172,163,1,1300844813,1084
605,75,111,1,1300847913,1084
606,111,75,1,1300848458,1084
607,75,42,3,1300857385,1084
608,111,44,1,-2147483648,1084
609,128,172,1,1300869245,1084
610,167,6,2,1300922187,1084
611,163,173,1,1300928213,1084
612,173,163,1,1300928240,1084
613,173,170,1,1300931572,1084
614,42,173,4,1300933559,1084
615,173,42,4,1300933628,1084
616,73,97,1,1300933841,1084
617,42,174,2,1300933940,1084
618,174,42,2,1300934003,1084
619,97,73,1,1300934772,1084
620,173,6,1,1300936616,1084
621,173,95,1,1300936648,1084
622,173,21,1,1300937004,1084
623,105,114,1,1300997414,1084
624,114,105,2,1300998238,1084
625,26,81,2,1301003730,1084
626,98,175,1,1301005357,1084
627,105,176,1,1301019703,1084
628,176,105,1,1301019908,1084
629,21,173,1,-2147483648,1084
630,6,173,1,1301023265,1084
631,98,113,1,-2147483648,1084
632,6,140,-1,1301032557,1084
633,29,111,4,-2147483648,1084
634,111,29,4,-2147483648,1084
635,175,177,1,1301084932,1084
636,177,175,1,1301086321,1084
637,135,83,1,1301089005,1084
638,114,163,1,1301105775,1084
639,21,89,2,-2147483648,1084
640,42,178,2,1301148833,1084
641,42,179,1,1301149633,1084
642,179,42,1,1301149695,1084
643,170,173,1,-2147483648,1084
644,178,42,2,1301168075,1084
645,178,2,5,1301168216,1084
646,98,140,-1,-2147483648,1084
647,137,180,1,-2147483648,1084
648,180,137,1,1301235508,1084
649,180,81,1,1301235545,1084
650,137,181,1,1301245064,1084
651,0,184,7,1301329948,1084
652,42,0,7,1301333077,1084
653,42,6,7,1301333083,1084
654,29,1,8,1301333302,1084
655,163,137,1,1301339345,1084
656,137,163,1,-2147483648,1084
657,42,185,4,-2147483648,1084
658,0,186,1,1301354601,1084
659,186,0,1,1301354685,1084
660,186,170,1,1301354726,1084
661,21,0,4,1301365737,1084
662,21,180,1,1301365871,1084
663,180,21,1,1301366024,1084
664,0,95,1,1301366233,1084
665,0,187,1,1301369843,1084
666,187,0,1,1301369929,1084
667,42,188,1,1301439895,1084
668,186,32,1,-2147483648,1084
669,42,175,2,1301453104,1084
670,160,146,1,1301513674,1084
671,146,160,1,1301514094,1084
672,42,190,1,1301521482,1084
673,42,191,1,1301522462,1084
674,191,42,1,1301523090,1084
675,6,192,3,1301569599,1084
676,0,75,1,1301600149,1084
677,75,0,2,1301600346,1084
678,24,0,8,1301607874,1084
679,44,111,1,1301613622,1084
680,21,132,1,1301617653,1084
681,167,193,1,1301618418,1084
682,193,167,1,1301618444,1084
683,192,6,2,1301630013,1084
684,42,169,3,1301683978,1084
685,169,42,3,1301684509,1084
686,167,194,1,1301694942,1084
687,194,167,1,1301695371,1084
688,195,6,5,1301744132,1084
689,183,6,2,1301774795,1084
690,75,163,3,1301785228,1084
691,163,75,3,1301785244,1084
692,163,196,1,1301820795,1084
693,196,163,1,1301821269,1084
694,163,197,1,1301827089,1084
695,197,163,10,1301827807,1084
696,111,198,1,1301863197,1084
697,198,111,1,1301863380,1084
698,29,199,1,1301866633,1084
699,199,45,1,1301866651,1084
700,199,29,1,1301866658,1084
701,163,98,2,1301897258,1084
702,98,163,2,1301897279,1084
703,1,6,5,-2147483648,1084
704,1,42,5,-2147483648,1084
705,1,44,8,1301898738,1084
706,1,56,2,1301898759,1084
707,6,1,5,1301899167,1084
708,6,29,5,1301899174,1084
709,6,30,5,-2147483648,1084
710,6,16,5,1301899226,1084
711,6,52,2,1301899299,1084
712,6,44,6,1301899326,1084
713,169,44,1,1301901227,1084
714,167,200,1,1301901459,1084
715,200,167,2,1301901471,1084
716,44,169,1,1301901475,1084
717,191,201,1,1301936770,1084
718,29,105,2,1301938972,1084
719,105,29,2,1301939041,1084
720,201,191,1,1301941162,1084
721,42,202,6,1301945086,1084
722,202,42,6,1301945156,1084
723,98,1,1,1301972936,1084
724,165,6,1,1301973637,1084
725,0,45,3,1301975394,1084
726,45,0,3,1301975615,1084
727,163,204,1,1301998379,1084
728,204,42,2,1301999041,1084
729,163,40,1,1302005850,1085
730,40,163,1,-2147483648,1085
731,125,42,5,1302011702,1085
732,42,125,5,1302011716,1085
733,165,59,1,1302012515,1085
734,40,85,1,1302012678,1085
735,111,59,5,1302016172,1085
736,0,205,1,1302017978,1085
737,201,59,3,1302025647,1085
738,26,206,1,1302027410,1085
739,206,26,1,1302027786,1085
740,0,207,1,1302043777,1085
741,207,0,1,1302043935,1085
742,59,201,3,1302044439,1085
743,59,45,1,1302044526,1085
744,59,165,1,1302044550,1085
745,59,111,5,1302044581,1085
746,59,60,8,1302044652,1085
747,188,42,2,1302055573,1085
748,52,16,1,1302069957,1085
749,26,208,2,1302082638,1085
750,208,26,2,1302082712,1085
751,204,205,2,1302096657,1085
752,205,204,2,1302097036,1085
753,205,210,1,1302103935,1085
754,210,205,1,1302103959,1085
755,42,211,1,1302107640,1085
756,42,210,3,1302108245,1085
757,210,42,3,1302108321,1085
758,6,136,2,1302112511,1085
759,127,167,1,1302117349,1085
760,167,127,1,-2147483648,1085
761,42,204,4,1302121400,1085
762,127,119,1,-2147483648,1085
763,176,209,1,1302136505,1085
764,209,176,1,-2147483648,1085
765,42,203,5,1302203707,1085
766,203,42,6,1302203835,1085
767,42,212,1,1302204154,1085
768,212,42,1,1302204187,1085
769,213,68,1,1302212934,1085
770,105,6,5,1302236703,1085
771,6,105,4,1302236754,1085
772,0,194,1,1302237679,1085
773,194,0,1,-2147483648,1085
774,211,205,1,1302246462,1085
775,205,211,1,1302246492,1085
776,42,64,2,-2147483648,1085
777,64,42,4,1302279515,1085
778,64,75,3,1302279761,1085
779,75,64,3,1302287609,1085
780,42,215,1,1302289159,1085
781,215,42,1,1302289547,1085
782,21,211,2,1302290506,1085
783,127,6,3,1302290513,1085
784,211,21,2,1302290516,1085
785,211,42,5,1302292040,1085
786,211,0,5,1302292044,1085
787,211,163,5,1302292056,1085
788,0,211,2,1302292173,1085
789,125,124,1,1302292905,1085
790,167,216,1,1302296393,1085
791,216,167,1,1302296410,1085
792,42,217,10,1302296668,1085
793,5,218,1,1302322673,1085
794,218,5,1,1302322871,1085
795,45,180,1,1302323406,1085
796,218,219,1,1302333277,1085
797,219,218,2,1302335098,1085
798,0,220,1,1302449430,1085
799,6,220,4,1302449755,1085
800,0,221,1,1302453499,1085
801,221,0,1,1302454856,1085
802,163,119,1,1302482453,1085
803,216,114,1,1302495086,1085
804,163,200,2,1302496979,1085
805,200,163,2,1302496999,1085
806,204,84,1,1302530478,1085
807,204,85,1,1302534403,1085
808,168,222,1,1302543865,1085
809,222,168,1,1302543928,1085
810,17,223,2,1302565807,1085
811,42,224,4,-2147483648,1085
812,42,225,4,1302617703,1085
813,225,42,4,1302618615,1085
814,111,226,1,1302639445,1085
815,226,111,1,1302639465,1085
816,26,227,1,-2147483648,1085
817,227,26,1,1302639594,1085
818,163,103,1,1302641206,1085
819,103,163,1,1302641237,1085
820,5,228,3,1302648708,1085
821,226,42,5,1302648768,1085
822,189,176,1,1302652617,1085
823,176,189,1,1302652619,1085
824,103,30,1,1302659093,1085
825,202,103,1,1302659161,1085
826,103,202,1,1302659185,1085
827,176,182,2,1302659794,1085
828,228,5,3,1302659889,1085
829,182,176,2,1302660915,1085
830,182,229,1,1302660923,1085
831,229,182,1,1302661144,1085
832,229,2,1,1302661676,1085
833,30,103,1,1302666289,1085
834,42,229,1,1302707523,1085
835,114,6,1,1302713671,1085
836,209,128,1,1302722251,1085
837,182,132,1,1302725616,1085
838,0,80,1,1302729569,1085
839,163,190,1,1302740432,1085
840,132,182,1,1302745364,1085
841,132,195,2,1302747220,1085
842,195,132,1,1302747939,1085
843,45,6,3,1302750631,1085
844,138,0,4,-2147483648,1085
845,42,56,4,1302790887,1085
846,111,18,10,1302791427,1085
847,0,231,1,1302800924,1085
848,231,0,1,1302800937,1085
849,182,232,1,1302814706,1085
850,232,182,1,1302814788,1085
851,163,114,4,1302817543,1085
852,42,221,2,1302818032,1085
853,221,42,2,1302818176,1085
854,42,233,2,1302818420,1085
855,17,191,1,1302820322,1085
856,6,203,4,-2147483648,1085
857,190,163,2,1302825832,1085
858,106,57,5,-2147483648,1085
859,106,114,1,1302842652,1085
860,229,6,1,1302845151,1085
861,6,229,1,1302845532,1085
862,0,234,1,1302847189,1085
863,234,0,1,1302847200,1085
864,103,0,2,1302881091,1085
865,0,103,1,1302881463,1085
866,103,233,1,1302881660,1085
